DateTime,TSLA,HMC,HYMTF,CVX,TM,F,^GSPC,Sales,prediction_1,prediction_2,prediction_3
2018-02-28,22.87066650390625,31.721607208251953,40.31999969482422,89.98274993896484,134.60000610351562,8.476698875427246,2713.830078125,9467.0,9467.0,9645.21243667516,9639.617647058823
2018-03-31,17.742000579833984,30.708309173583984,36.599998474121094,91.68722534179688,130.3699951171875,8.85219955444336,2640.8701171875,9747.0,9747.0,9669.54469603043,9604.529411764706
2018-04-30,19.593332290649414,30.381153106689453,46.0099983215332,100.58741760253906,130.97999572753906,9.100512504577637,2648.050048828125,9622.0,9622.0,9832.869850939382,9645.666666666666
2018-05-31,18.98200035095215,28.08222770690918,39.5,100.80762481689453,127.97000122070312,9.351505279541016,2705.27001953125,9893.0,9893.0,9960.38922357185,9672.714285714286
2018-06-30,22.863332748413086,25.88056755065918,37.349998474121094,102.53504943847656,128.80999755859375,8.962869644165039,2718.3701171875,9978.0,9978.0,9801.955511978571,9756.615384615385
2018-07-31,19.875999450683594,27.109603881835938,36.86000061035156,102.4052963256836,131.83999633789062,8.243203163146973,2816.2900390625,9551.0,9551.0,9997.917441605274,9672.714285714286
2018-08-31,20.110666275024414,26.19887924194336,34.25,96.992431640625,124.08000183105469,7.783422946929932,2901.52001953125,9679.0,9679.0,9877.14042977353,9645.666666666666
2018-09-30,17.65133285522461,26.77100372314453,34.70000076293945,100.12015533447266,124.3499984741211,7.594586372375488,2913.97998046875,9772.0,9772.0,9691.027433595156,9641.25
2018-10-31,22.488000869750977,25.364816665649414,31.0,91.41656494140625,117.05000305175781,7.981751918792725,2711.739990234375,9777.0,9777.0,9752.698906296519,9700.576923076924
2018-11-30,23.365333557128906,25.071117401123047,29.0,98.33721160888672,121.4800033569336,7.864741802215576,2760.169921875,9542.0,9542.0,9684.169789752463,9703.25
2018-12-31,22.18666648864746,23.722742080688477,25.25,89.94539642333984,116.08000183105469,6.393759727478027,2506.85009765625,9801.0,9801.0,9712.547576803727,9737.8
